Fecha,NO,NO2,SO2,NOX,PM10,TMP,HR,PRB,VV,O3,RS,DD
2017-07-01,8.583333333333334,10.125,10.583333333333334,23.083333333333332,33.583333333333336,23.041666666666668,51.791666666666664,1021.9166666666666,1.25,100.0,5982.0,137.87187892561366
2017-07-02,3.3333333333333335,14.75,10.208333333333334,19.875,20.333333333333332,23.041666666666668,70.33333333333333,1024.5833333333333,1.4166666666666667,96.0,7604.0,251.3758034158506
2017-07-03,8.875,15.5,9.583333333333334,28.875,19.0,24.125,65.25,1024.125,1.3333333333333333,93.0,8018.0,43.421607327954185
2017-07-04,7.139423076923077,12.291666666666666,9.625,22.934294871794872,20.416666666666668,24.75,67.625,1021.0833333333334,1.3333333333333333,71.0,7966.0,32.72520938293107
2017-07-05,4.9230769230769225,8.416666666666666,8.833333333333334,15.419871794871796,21.333333333333332,25.041666666666668,75.58333333333333,1019.2083333333334,1.125,76.0,6233.0,38.69838675075304
2017-07-06,4.333333333333333,11.375,8.625,17.875,32.125,26.791666666666668,64.95833333333333,1019.5,1.2083333333333333,107.0,4163.0,113.85554615361127
2017-07-07,5.458333333333333,9.958333333333334,8.166666666666666,18.25,37.791666666666664,26.0,79.54166666666667,1018.375,1.25,81.0,3542.0,111.76286918000446
2017-07-08,4.25,10.208333333333334,8.791666666666666,16.666666666666668,38.875,27.041666666666668,67.45833333333333,1017.875,1.7083333333333333,126.0,7625.0,208.79688322115624
2017-07-09,2.875,10.833333333333334,8.958333333333334,15.25,30.875,28.625,49.541666666666664,1018.0833333333334,1.9166666666666667,150.0,7480.0,190.35384680952757
2017-07-10,3.2083333333333335,14.625,9.729166666666666,19.604166666666668,37.458333333333336,28.833333333333332,48.958333333333336,1017.6666666666666,1.375,137.0,7574.0,142.6945309782769
2017-07-11,2.875,13.125,8.333333333333334,17.541666666666668,39.75,27.458333333333332,61.125,1019.4583333333334,1.1666666666666667,114.0,7189.0,69.1842480595191
2017-07-12,4.125,13.416666666666666,8.291666666666666,19.75,41.625,29.208333333333332,62.875,1021.625,1.0416666666666667,113.0,7124.0,140.62766111025664
2017-07-13,3.039800995024876,9.246268656716419,7.121794871794872,14.07400497512438,42.30769230769231,28.897435897435898,72.33974358974359,1022.6570512820513,1.0416666666666667,84.0,7037.923076923077,86.12178106268006
2017-07-14,3.783582089552239,8.567164179104479,7.253205128205128,14.917910447761194,44.60897435897436,28.977564102564102,70.53525641025641,1021.1762820512821,1.2083333333333333,81.0,7354.076923076923,75.1249229744168
2017-07-15,3.425373134328358,7.850746268656716,8.541666666666666,13.12686567164179,32.625,27.125,73.79166666666667,1022.875,1.2916666666666667,87.0,6799.0,67.7691055237381
2017-07-16,3.209577114427861,7.669154228855722,9.125,12.21455223880597,27.666666666666668,27.333333333333332,63.166666666666664,1024.375,1.2916666666666667,112.0,7415.0,49.34303215717036
2017-07-17,3.6666666666666665,10.125,9.083333333333334,15.791666666666666,33.125,27.0,62.166666666666664,1023.375,1.2083333333333333,123.0,7045.0,29.392206719389478
2017-07-18,2.3333333333333335,7.208333333333333,8.625,10.791666666666666,36.208333333333336,27.916666666666668,60.708333333333336,1021.2083333333334,1.25,117.0,7053.0,87.23828801783134
2017-07-19,3.875,9.416666666666666,8.416666666666666,15.25,35.375,28.166666666666668,71.41666666666667,1018.375,1.375,106.0,6611.0,167.0262899213652
2017-07-20,3.5416666666666665,11.625,8.875,17.0,59.416666666666664,28.208333333333332,68.54166666666667,1016.7083333333334,1.5,123.0,7254.0,158.88948576755308
2017-07-21,7.375,11.416666666666666,8.583333333333334,22.5,42.25,27.833333333333332,69.91666666666667,1016.375,1.375,115.0,6694.0,151.61981885151337
2017-07-22,11.916666666666666,10.666666666666666,8.458333333333334,28.833333333333332,40.458333333333336,27.083333333333332,68.66666666666667,1018.75,1.3333333333333333,127.0,6962.0,176.513647353582
2017-07-23,6.458333333333333,10.666666666666666,8.291666666666666,20.625,32.958333333333336,27.875,66.20833333333333,1022.0833333333334,1.25,109.0,5866.0,174.3723829684424
2017-07-24,3.5833333333333335,10.208333333333334,8.916666666666666,15.666666666666666,41.541666666666664,27.958333333333332,63.0,1021.625,1.2083333333333333,135.0,7036.0,166.4210361083726
2017-07-25,3.4166666666666665,10.125,8.125,15.541666666666666,34.916666666666664,27.25,73.08333333333333,1020.125,1.375,91.0,6222.0,59.84209686870793
2017-07-26,4.291666666666667,11.75,7.791666666666667,18.0,30.583333333333332,27.458333333333332,71.0,1019.6666666666666,1.75,97.0,6997.0,192.33656893670508
2017-07-27,4.458333333333333,12.375,7.791666666666667,19.375,27.166666666666668,28.083333333333332,63.541666666666664,1020.4166666666666,1.6666666666666667,106.0,6504.0,197.0615563725399
2017-07-28,3.7916666666666665,13.416666666666666,8.166666666666666,19.125,40.333333333333336,29.75,54.5,1020.3333333333334,1.1666666666666667,128.0,6660.0,150.23226706031235
2017-07-29,3.4166666666666665,12.0,7.625,17.083333333333332,28.791666666666668,29.333333333333332,62.458333333333336,1021.5,1.2083333333333333,96.0,6497.0,143.006495809652
2017-07-30,3.5,13.125,8.125,18.458333333333332,42.25,29.75,52.958333333333336,1018.375,1.5,147.0,6829.0,209.1521059744749
2017-07-31,3.5416666666666665,11.791666666666666,7.708333333333333,17.208333333333332,36.916666666666664,28.541666666666668,72.95833333333333,1015.8333333333334,1.2916666666666667,79.0,6060.0,139.20223703336916
2017-08-01,3.8333333333333335,10.541666666666666,7.208333333333333,16.5,39.916666666666664,29.416666666666668,73.16666666666667,1017.7916666666666,1.0833333333333333,103.0,4288.0,129.43971433666397
