Fecha,NO,NO2,SO2,O3,NOX,C6H6,C7H8,XIL,PM10,Ruido
1 ene. 2017 00:01,5.0,30.0,15.0,43.0,37.0,,,,26.0,
1 ene. 2017 01:01,4.0,27.0,12.0,41.0,34.0,,,,25.0,
1 ene. 2017 02:01,5.0,25.0,14.0,39.0,33.0,,,,21.0,
1 ene. 2017 03:01,3.0,16.0,15.0,43.0,21.0,,,,18.0,
1 ene. 2017 04:01,4.0,15.0,14.0,46.0,22.0,,,,16.0,
1 ene. 2017 05:01,5.0,13.0,11.0,46.0,20.0,,,,17.0,
1 ene. 2017 06:01,4.0,12.0,11.0,49.0,18.0,,,,15.0,
1 ene. 2017 07:01,3.0,11.0,13.0,54.0,16.0,,,,14.0,
1 ene. 2017 08:01,4.0,11.0,11.0,54.0,17.0,,,,13.0,
1 ene. 2017 09:01,5.0,11.0,11.0,56.0,19.0,,,,15.0,
1 ene. 2017 10:01,5.0,11.0,10.0,57.0,18.0,,,,16.0,
1 ene. 2017 11:01,6.0,14.0,15.0,56.0,22.0,,,,19.0,
1 ene. 2017 12:01,6.0,16.0,17.0,56.0,24.0,,,,17.0,
1 ene. 2017 13:01,10.0,19.0,11.0,57.0,33.0,,,,19.0,
1 ene. 2017 14:01,6.0,18.0,10.0,67.0,28.0,,,,16.0,
1 ene. 2017 15:01,5.0,16.0,9.0,69.0,23.0,,,,19.0,
1 ene. 2017 16:01,6.0,16.0,10.0,79.0,25.0,,,,10.0,
1 ene. 2017 17:01,5.0,15.0,7.0,81.0,23.0,,,,13.0,
1 ene. 2017 18:01,4.0,28.0,8.0,66.0,35.0,,,,29.0,
1 ene. 2017 19:01,8.0,59.0,11.0,47.0,72.0,,,,36.0,
1 ene. 2017 20:01,7.0,79.0,11.0,36.0,90.0,,,,38.0,
1 ene. 2017 21:01,8.0,94.0,13.0,19.0,108.0,,,,45.0,
1 ene. 2017 22:01,9.0,63.0,9.0,29.0,76.0,,,,35.0,
1 ene. 2017 23:01,5.0,53.0,7.0,24.0,60.0,,,,26.0,
2 ene. 2017 00:01,3.0,21.0,6.0,53.0,26.0,,,,16.0,
2 ene. 2017 01:01,5.0,22.0,11.0,46.0,29.0,,,,17.0,
2 ene. 2017 02:01,5.0,26.0,13.0,33.0,33.0,,,,18.0,
2 ene. 2017 03:01,4.0,22.0,12.0,35.0,28.0,,,,16.0,
2 ene. 2017 04:01,3.0,21.0,10.0,40.0,26.0,,,,17.0,
2 ene. 2017 05:01,3.0,17.0,11.0,40.0,22.0,,,,12.0,
2 ene. 2017 06:01,4.0,16.0,12.0,40.0,22.0,,,,12.0,
2 ene. 2017 07:01,3.0,17.0,11.0,43.0,23.0,,,,13.0,
2 ene. 2017 08:01,4.0,22.0,10.0,42.0,28.0,,,,17.0,
2 ene. 2017 09:01,7.0,29.0,9.0,42.0,39.0,,,,20.0,
2 ene. 2017 10:01,10.0,23.0,10.0,43.0,38.0,,,,30.0,
2 ene. 2017 11:01,6.0,26.0,9.0,42.0,36.0,,,,23.0,
2 ene. 2017 12:01,8.0,27.0,11.0,40.0,40.0,,,,22.0,
2 ene. 2017 13:01,10.0,31.0,12.0,45.0,46.0,,,,27.0,
2 ene. 2017 14:01,6.0,21.0,13.0,66.0,31.0,,,,17.0,
2 ene. 2017 15:01,5.0,24.0,12.0,70.0,31.0,,,,20.0,
2 ene. 2017 16:01,3.0,23.0,12.0,79.0,28.0,,,,18.0,
2 ene. 2017 17:01,4.0,24.0,13.0,81.0,30.0,,,,21.0,
2 ene. 2017 18:01,7.0,36.0,13.0,62.0,46.0,,,,37.0,
2 ene. 2017 19:01,19.0,99.0,12.0,26.0,128.0,,,,48.0,
2 ene. 2017 20:01,43.0,127.0,15.0,4.0,193.0,,,,73.0,
2 ene. 2017 21:01,24.0,97.0,17.0,8.0,134.0,,,,58.0,
2 ene. 2017 22:01,15.0,84.0,11.0,9.0,108.0,,,,39.0,
2 ene. 2017 23:01,11.0,75.0,7.0,14.0,92.0,,,,33.0,
3 ene. 2017 00:01,6.0,40.0,6.0,38.0,49.0,,,,30.0,
3 ene. 2017 01:01,4.0,41.0,10.0,33.0,47.0,,,,32.0,
3 ene. 2017 02:01,4.0,33.0,14.0,38.0,40.0,,,,25.0,
3 ene. 2017 03:01,5.0,25.0,14.0,35.0,32.0,,,,20.0,
3 ene. 2017 04:01,3.0,24.0,13.0,37.0,28.0,,,,20.0,
3 ene. 2017 05:01,4.0,20.0,10.0,40.0,27.0,,,,16.0,
3 ene. 2017 06:01,4.0,20.0,11.0,34.0,25.0,,,,14.0,
3 ene. 2017 07:01,5.0,20.0,11.0,34.0,27.0,,,,14.0,
3 ene. 2017 08:01,30.0,55.0,13.0,30.0,101.0,,,,19.0,
3 ene. 2017 09:01,28.0,75.0,10.0,19.0,117.0,,,,46.0,
3 ene. 2017 10:01,23.0,62.0,11.0,20.0,97.0,,,,44.0,
3 ene. 2017 11:01,34.0,51.0,20.0,27.0,103.0,,,,53.0,
3 ene. 2017 12:01,19.0,45.0,19.0,37.0,74.0,,,,50.0,
3 ene. 2017 13:01,17.0,51.0,14.0,35.0,77.0,,,,50.0,
3 ene. 2017 14:01,14.0,39.0,13.0,54.0,60.0,,,,16.0,
3 ene. 2017 15:01,8.0,35.0,13.0,64.0,48.0,,,,20.0,
3 ene. 2017 16:01,6.0,35.0,9.0,68.0,44.0,,,,18.0,
3 ene. 2017 17:01,11.0,42.0,12.0,63.0,58.0,,,,40.0,
3 ene. 2017 18:01,9.0,50.0,10.0,47.0,64.0,,,,40.0,
3 ene. 2017 19:01,14.0,66.0,9.0,29.0,88.0,,,,36.0,
3 ene. 2017 20:01,57.0,120.0,8.0,6.0,207.0,,,,78.0,
3 ene. 2017 21:01,25.0,95.0,7.0,12.0,134.0,,,,56.0,
3 ene. 2017 22:01,11.0,49.0,7.0,37.0,66.0,,,,35.0,
3 ene. 2017 23:01,5.0,35.0,5.0,42.0,43.0,,,,27.0,
4 ene. 2017 00:01,5.0,37.0,7.0,37.0,45.0,,,,29.0,
4 ene. 2017 01:01,4.0,36.0,8.0,31.0,42.0,,,,24.0,
4 ene. 2017 02:01,5.0,32.0,7.0,31.0,40.0,,,,28.0,
4 ene. 2017 03:01,4.0,26.0,8.0,26.0,32.0,,,,31.0,
4 ene. 2017 04:01,3.0,28.0,10.0,28.0,33.0,,,,32.0,
4 ene. 2017 05:01,4.0,24.0,12.0,29.0,30.0,,,,29.0,
4 ene. 2017 06:01,6.0,32.0,12.0,29.0,41.0,,,,32.0,
4 ene. 2017 07:01,8.0,54.0,10.0,16.0,67.0,,,,36.0,
4 ene. 2017 08:01,11.0,66.0,9.0,19.0,83.0,,,,43.0,
4 ene. 2017 09:01,127.0,107.0,11.0,3.0,302.0,,,,88.0,
4 ene. 2017 10:01,99.0,117.0,11.0,6.0,269.0,,,,96.0,
4 ene. 2017 11:01,64.0,92.0,12.0,15.0,190.0,,,,89.0,
4 ene. 2017 12:01,21.0,53.0,12.0,36.0,85.0,,,,62.0,
4 ene. 2017 13:01,11.0,37.0,11.0,51.0,55.0,,,,43.0,
4 ene. 2017 14:01,7.0,27.0,10.0,63.0,38.0,,,,24.0,
4 ene. 2017 15:01,7.0,23.0,8.0,65.0,33.0,,,,28.0,
4 ene. 2017 16:01,9.0,24.0,8.0,67.0,38.0,,,,27.0,
4 ene. 2017 17:01,6.0,27.0,8.0,61.0,35.0,,,,37.0,
4 ene. 2017 18:01,8.0,41.0,9.0,51.0,54.0,,,,40.0,
4 ene. 2017 19:01,11.0,68.0,10.0,38.0,86.0,,,,49.0,
4 ene. 2017 20:01,11.0,77.0,12.0,35.0,94.0,,,,36.0,
4 ene. 2017 21:01,8.0,59.0,13.0,44.0,71.0,,,,25.0,
4 ene. 2017 22:01,5.0,48.0,13.0,51.0,56.0,,,,15.0,
4 ene. 2017 23:01,6.0,43.0,11.0,49.0,52.0,,,,17.0,
5 ene. 2017 00:01,3.0,17.0,8.0,60.0,21.0,,,,6.0,
5 ene. 2017 01:01,5.0,17.0,12.0,59.0,25.0,,,,6.0,
5 ene. 2017 02:01,3.0,17.0,11.0,64.0,22.0,,,,12.0,
5 ene. 2017 03:01,4.0,15.0,9.0,63.0,21.0,,,,7.0,
5 ene. 2017 04:01,5.0,15.0,10.0,61.0,23.0,,,,9.0,
5 ene. 2017 05:01,4.0,16.0,9.0,60.0,23.0,,,,6.0,
5 ene. 2017 06:01,5.0,20.0,12.0,61.0,27.0,,,,13.0,
5 ene. 2017 07:01,4.0,25.0,10.0,53.0,31.0,,,,11.0,
5 ene. 2017 08:01,4.0,35.0,13.0,51.0,42.0,,,,13.0,
5 ene. 2017 09:01,16.0,59.0,12.0,41.0,84.0,,,,24.0,
5 ene. 2017 10:01,10.0,49.0,11.0,42.0,64.0,,,,25.0,
5 ene. 2017 11:01,15.0,48.0,13.0,44.0,71.0,,,,28.0,
5 ene. 2017 12:01,8.0,26.0,11.0,56.0,38.0,,,,17.0,
5 ene. 2017 13:01,7.0,21.0,13.0,61.0,32.0,,,,19.0,
5 ene. 2017 14:01,6.0,22.0,14.0,65.0,31.0,,,,22.0,
5 ene. 2017 15:01,6.0,24.0,14.0,66.0,33.0,,,,18.0,
5 ene. 2017 16:01,4.0,21.0,13.0,69.0,27.0,,,,18.0,
5 ene. 2017 17:01,5.0,19.0,14.0,73.0,26.0,,,,19.0,
5 ene. 2017 18:01,6.0,38.0,13.0,55.0,47.0,,,,40.0,
5 ene. 2017 19:01,39.0,120.0,11.0,14.0,179.0,,,,69.0,
5 ene. 2017 20:01,52.0,141.0,8.0,2.0,222.0,,,,82.0,
5 ene. 2017 21:01,38.0,129.0,8.0,2.0,187.0,,,,48.0,
5 ene. 2017 22:01,21.0,102.0,7.0,7.0,135.0,,,,38.0,
5 ene. 2017 23:01,24.0,98.0,10.0,5.0,134.0,,,,37.0,
6 ene. 2017 00:01,8.0,67.0,10.0,18.0,80.0,,,,30.0,
6 ene. 2017 01:01,5.0,44.0,9.0,24.0,51.0,,,,22.0,
6 ene. 2017 02:01,5.0,36.0,6.0,24.0,44.0,,,,16.0,
6 ene. 2017 03:01,4.0,32.0,6.0,26.0,38.0,,,,17.0,
6 ene. 2017 04:01,4.0,28.0,9.0,28.0,35.0,,,,16.0,
6 ene. 2017 05:01,5.0,23.0,11.0,35.0,30.0,,,,15.0,
6 ene. 2017 06:01,4.0,21.0,12.0,36.0,27.0,,,,15.0,
6 ene. 2017 07:01,6.0,22.0,13.0,37.0,31.0,,,,17.0,
6 ene. 2017 08:01,5.0,29.0,12.0,34.0,38.0,,,,17.0,
6 ene. 2017 09:01,6.0,40.0,13.0,23.0,49.0,,,,19.0,
6 ene. 2017 10:01,6.0,40.0,14.0,23.0,48.0,,,,25.0,
6 ene. 2017 11:01,13.0,45.0,14.0,23.0,64.0,,,,22.0,
6 ene. 2017 12:01,11.0,34.0,16.0,37.0,50.0,,,,21.0,
6 ene. 2017 13:01,8.0,22.0,11.0,51.0,34.0,,,,19.0,
6 ene. 2017 14:01,7.0,22.0,7.0,51.0,33.0,,,,18.0,
6 ene. 2017 15:01,10.0,27.0,7.0,56.0,42.0,,,,24.0,
6 ene. 2017 16:01,6.0,24.0,8.0,57.0,33.0,,,,25.0,
6 ene. 2017 17:01,6.0,25.0,9.0,57.0,34.0,,,,26.0,
6 ene. 2017 18:01,6.0,28.0,11.0,50.0,38.0,,,,31.0,
6 ene. 2017 19:01,9.0,48.0,12.0,36.0,61.0,,,,36.0,
6 ene. 2017 20:01,12.0,79.0,15.0,18.0,96.0,,,,33.0,
6 ene. 2017 21:01,37.0,101.0,16.0,5.0,158.0,,,,49.0,
6 ene. 2017 22:01,7.0,69.0,11.0,14.0,80.0,,,,28.0,
6 ene. 2017 23:01,8.0,59.0,8.0,12.0,71.0,,,,22.0,
7 ene. 2017 00:01,9.0,57.0,7.0,11.0,71.0,,,,31.0,
7 ene. 2017 01:01,6.0,37.0,13.0,22.0,46.0,,,,21.0,
7 ene. 2017 02:01,5.0,27.0,15.0,26.0,34.0,,,,13.0,
7 ene. 2017 03:01,4.0,24.0,15.0,22.0,29.0,,,,15.0,
7 ene. 2017 04:01,4.0,28.0,12.0,18.0,35.0,,,,15.0,
7 ene. 2017 05:01,4.0,23.0,10.0,27.0,29.0,,,,11.0,
7 ene. 2017 06:01,5.0,28.0,10.0,19.0,35.0,,,,12.0,
7 ene. 2017 07:01,4.0,25.0,8.0,43.0,30.0,,,,24.0,
7 ene. 2017 08:01,6.0,20.0,7.0,38.0,28.0,,,,14.0,
7 ene. 2017 09:01,10.0,39.0,9.0,26.0,55.0,,,,17.0,
7 ene. 2017 10:01,17.0,35.0,10.0,32.0,61.0,,,,25.0,
7 ene. 2017 11:01,10.0,28.0,12.0,41.0,44.0,,,,24.0,
7 ene. 2017 12:01,9.0,26.0,11.0,53.0,40.0,,,,24.0,
7 ene. 2017 13:01,7.0,22.0,12.0,72.0,32.0,,,,18.0,
7 ene. 2017 14:01,7.0,24.0,14.0,80.0,34.0,,,,16.0,
7 ene. 2017 15:01,8.0,25.0,12.0,81.0,37.0,,,,17.0,
7 ene. 2017 16:01,5.0,18.0,10.0,84.0,26.0,,,,19.0,
7 ene. 2017 17:01,9.0,20.0,11.0,84.0,34.0,,,,24.0,
7 ene. 2017 18:01,9.0,27.0,10.0,79.0,40.0,,,,23.0,
7 ene. 2017 19:01,11.0,55.0,13.0,56.0,71.0,,,,30.0,
7 ene. 2017 20:01,10.0,70.0,14.0,47.0,85.0,,,,30.0,
7 ene. 2017 21:01,18.0,112.0,15.0,9.0,139.0,,,,44.0,
7 ene. 2017 22:01,9.0,76.0,16.0,22.0,89.0,,,,27.0,
7 ene. 2017 23:01,6.0,57.0,16.0,28.0,66.0,,,,24.0,
8 ene. 2017 00:01,5.0,43.0,15.0,34.0,50.0,,,,21.0,
8 ene. 2017 01:01,5.0,42.0,13.0,26.0,50.0,,,,20.0,
8 ene. 2017 02:01,2.0,26.0,14.0,45.0,29.0,,,,19.0,
8 ene. 2017 03:01,4.0,20.0,13.0,50.0,26.0,,,,15.0,
8 ene. 2017 04:01,3.0,16.0,13.0,49.0,21.0,,,,15.0,
8 ene. 2017 05:01,4.0,15.0,14.0,50.0,22.0,,,,13.0,
8 ene. 2017 06:01,6.0,13.0,13.0,52.0,21.0,,,,14.0,
8 ene. 2017 07:01,5.0,14.0,11.0,47.0,22.0,,,,13.0,
8 ene. 2017 08:01,4.0,14.0,13.0,41.0,19.0,,,,13.0,
8 ene. 2017 09:01,5.0,15.0,13.0,42.0,22.0,,,,13.0,
8 ene. 2017 10:01,3.0,13.0,10.0,37.0,18.0,,,,14.0,
8 ene. 2017 11:01,6.0,16.0,7.0,42.0,25.0,,,,18.0,
8 ene. 2017 12:01,6.0,20.0,9.0,50.0,29.0,,,,22.0,
8 ene. 2017 13:01,6.0,18.0,9.0,62.0,27.0,,,,19.0,
8 ene. 2017 14:01,6.0,18.0,11.0,73.0,26.0,,,,14.0,
8 ene. 2017 15:01,6.0,18.0,10.0,75.0,27.0,,,,17.0,
8 ene. 2017 16:01,4.0,14.0,11.0,81.0,19.0,,,,15.0,
8 ene. 2017 17:01,6.0,17.0,13.0,82.0,26.0,,,,11.0,
8 ene. 2017 18:01,7.0,28.0,14.0,75.0,39.0,,,,20.0,
8 ene. 2017 19:01,9.0,48.0,13.0,54.0,61.0,,,,23.0,
8 ene. 2017 20:01,8.0,49.0,9.0,53.0,61.0,,,,25.0,
8 ene. 2017 21:01,12.0,80.0,8.0,31.0,99.0,,,,30.0,
8 ene. 2017 22:01,6.0,68.0,10.0,21.0,77.0,,,,21.0,
8 ene. 2017 23:01,7.0,42.0,8.0,44.0,52.0,,,,22.0,
9 ene. 2017 00:01,3.0,23.0,9.0,47.0,27.0,,,,15.0,
9 ene. 2017 01:01,2.0,19.0,8.0,48.0,22.0,,,,15.0,
9 ene. 2017 02:01,5.0,27.0,11.0,38.0,34.0,,,,13.0,
9 ene. 2017 03:01,5.0,20.0,9.0,34.0,28.0,,,,9.0,
9 ene. 2017 04:01,5.0,17.0,7.0,32.0,24.0,,,,10.0,
9 ene. 2017 05:01,3.0,18.0,12.0,30.0,22.0,,,,10.0,
9 ene. 2017 06:01,6.0,29.0,13.0,16.0,37.0,,,,12.0,
9 ene. 2017 07:01,11.0,44.0,14.0,11.0,61.0,,,,15.0,
9 ene. 2017 08:01,150.0,101.0,16.0,2.0,331.0,,,,38.0,
9 ene. 2017 09:01,162.0,111.0,15.0,3.0,359.0,,,,69.0,
9 ene. 2017 10:01,109.0,94.0,12.0,6.0,260.0,,,,239.0,
9 ene. 2017 11:01,34.0,70.0,10.0,24.0,123.0,,,,55.0,
9 ene. 2017 12:01,12.0,45.0,8.0,41.0,64.0,,,,70.0,
9 ene. 2017 13:01,12.0,38.0,11.0,45.0,56.0,,,,31.0,
9 ene. 2017 14:01,8.0,21.0,13.0,62.0,34.0,,,,20.0,
9 ene. 2017 15:01,4.0,20.0,12.0,67.0,26.0,,,,18.0,
9 ene. 2017 16:01,6.0,20.0,13.0,70.0,29.0,,,,19.0,
9 ene. 2017 17:01,5.0,24.0,14.0,71.0,32.0,,,,28.0,
9 ene. 2017 18:01,8.0,41.0,13.0,60.0,53.0,,,,35.0,
9 ene. 2017 19:01,36.0,108.0,9.0,26.0,163.0,,,,49.0,
9 ene. 2017 20:01,70.0,167.0,7.0,4.0,274.0,,,,59.0,
9 ene. 2017 21:01,71.0,118.0,7.0,4.0,226.0,,,,62.0,
9 ene. 2017 22:01,18.0,95.0,8.0,12.0,122.0,,,,36.0,
9 ene. 2017 23:01,6.0,51.0,9.0,33.0,60.0,,,,24.0,
10 ene. 2017 00:01,5.0,41.0,10.0,29.0,49.0,,,,18.0,
10 ene. 2017 01:01,4.0,20.0,13.0,46.0,27.0,,,,18.0,
10 ene. 2017 02:01,5.0,16.0,16.0,47.0,23.0,,,,14.0,
10 ene. 2017 03:01,5.0,14.0,15.0,45.0,22.0,,,,12.0,
10 ene. 2017 04:01,4.0,15.0,12.0,46.0,22.0,,,,12.0,
10 ene. 2017 05:01,4.0,16.0,11.0,43.0,23.0,,,,10.0,
10 ene. 2017 06:01,4.0,16.0,11.0,43.0,23.0,,,,10.0,
10 ene. 2017 07:01,4.0,17.0,10.0,43.0,23.0,,,,9.0,
10 ene. 2017 08:01,10.0,36.0,12.0,38.0,52.0,,,,14.0,
10 ene. 2017 09:01,16.0,60.0,14.0,27.0,84.0,,,,26.0,
10 ene. 2017 10:01,16.0,66.0,14.0,32.0,90.0,,,,49.0,
10 ene. 2017 11:01,8.0,35.0,14.0,61.0,47.0,,,,38.0,
10 ene. 2017 12:01,6.0,31.0,13.0,60.0,40.0,,,,22.0,
10 ene. 2017 13:01,9.0,42.0,11.0,56.0,56.0,,,,18.0,
10 ene. 2017 14:01,7.0,31.0,12.0,62.0,41.0,,,,15.0,
10 ene. 2017 15:01,11.0,42.0,9.0,61.0,58.0,,,,19.0,
10 ene. 2017 16:01,15.0,71.0,11.0,42.0,94.0,,,,31.0,
10 ene. 2017 17:01,25.0,104.0,10.0,23.0,142.0,,,,55.0,
10 ene. 2017 18:01,9.0,54.0,9.0,49.0,67.0,,,,37.0,
10 ene. 2017 19:01,7.0,33.0,11.0,60.0,43.0,,,,26.0,
10 ene. 2017 20:01,6.0,30.0,8.0,58.0,40.0,,,,27.0,
10 ene. 2017 21:01,7.0,26.0,12.0,59.0,36.0,,,,19.0,
10 ene. 2017 22:01,3.0,21.0,10.0,60.0,25.0,,,,36.0,
10 ene. 2017 23:01,6.0,19.0,8.0,59.0,28.0,,,,43.0,
11 ene. 2017 00:01,4.0,15.0,12.0,60.0,21.0,,,,15.0,
11 ene. 2017 01:01,3.0,11.0,12.0,61.0,15.0,,,,7.0,
11 ene. 2017 02:01,4.0,12.0,9.0,61.0,19.0,,,,5.0,
11 ene. 2017 03:01,3.0,11.0,10.0,60.0,16.0,,,,3.0,
11 ene. 2017 04:01,4.0,11.0,11.0,59.0,17.0,,,,4.0,
11 ene. 2017 05:01,6.0,14.0,10.0,60.0,23.0,,,,4.0,
11 ene. 2017 06:01,5.0,13.0,12.0,62.0,20.0,,,,4.0,
11 ene. 2017 07:01,5.0,19.0,11.0,58.0,26.0,,,,7.0,
11 ene. 2017 08:01,21.0,48.0,8.0,42.0,81.0,,,,9.0,
11 ene. 2017 09:01,11.0,55.0,8.0,37.0,70.0,,,,20.0,
11 ene. 2017 10:01,17.0,75.0,10.0,27.0,101.0,,,,31.0,
11 ene. 2017 11:01,13.0,44.0,11.0,44.0,63.0,,,,21.0,
11 ene. 2017 12:01,7.0,24.0,12.0,59.0,34.0,,,,9.0,
11 ene. 2017 13:01,4.0,21.0,10.0,64.0,27.0,,,,19.0,
11 ene. 2017 14:01,5.0,20.0,11.0,68.0,28.0,,,,27.0,
11 ene. 2017 15:01,5.0,18.0,8.0,67.0,25.0,,,,52.0,
11 ene. 2017 16:01,4.0,17.0,8.0,68.0,23.0,,,,27.0,
11 ene. 2017 17:01,5.0,16.0,14.0,69.0,23.0,,,,27.0,
11 ene. 2017 18:01,6.0,26.0,14.0,60.0,35.0,,,,30.0,
11 ene. 2017 19:01,9.0,73.0,11.0,35.0,86.0,,,,58.0,
11 ene. 2017 20:01,45.0,142.0,8.0,9.0,211.0,,,,58.0,
11 ene. 2017 21:01,35.0,128.0,9.0,7.0,182.0,,,,56.0,
11 ene. 2017 22:01,19.0,109.0,10.0,10.0,138.0,,,,42.0,
11 ene. 2017 23:01,7.0,70.0,11.0,23.0,81.0,,,,35.0,
12 ene. 2017 00:01,4.0,40.0,10.0,36.0,46.0,,,,28.0,
12 ene. 2017 01:01,4.0,23.0,9.0,48.0,30.0,,,,21.0,
12 ene. 2017 02:01,4.0,17.0,7.0,53.0,23.0,,,,16.0,
12 ene. 2017 03:01,4.0,16.0,9.0,54.0,21.0,,,,17.0,
12 ene. 2017 04:01,3.0,17.0,8.0,43.0,22.0,,,,21.0,
12 ene. 2017 05:01,5.0,19.0,9.0,43.0,26.0,,,,19.0,
12 ene. 2017 06:01,4.0,19.0,9.0,41.0,25.0,,,,17.0,
12 ene. 2017 07:01,5.0,23.0,11.0,37.0,30.0,,,,16.0,
12 ene. 2017 08:01,20.0,75.0,14.0,20.0,106.0,,,,22.0,
12 ene. 2017 09:01,80.0,108.0,14.0,2.0,231.0,,,,43.0,
12 ene. 2017 10:01,143.0,112.0,13.0,14.0,331.0,,,,61.0,
12 ene. 2017 11:01,9.0,38.0,12.0,49.0,52.0,,,,20.0,
12 ene. 2017 12:01,10.0,26.0,12.0,58.0,41.0,,,,15.0,
12 ene. 2017 13:01,8.0,23.0,12.0,59.0,35.0,,,,27.0,
12 ene. 2017 14:01,13.0,30.0,11.0,59.0,50.0,,,,17.0,
12 ene. 2017 15:01,12.0,24.0,10.0,62.0,42.0,,,,27.0,
12 ene. 2017 16:01,8.0,16.0,11.0,68.0,29.0,,,,42.0,
12 ene. 2017 17:01,6.0,18.0,18.0,68.0,27.0,,,,35.0,
12 ene. 2017 18:01,10.0,25.0,20.0,64.0,40.0,,,,18.0,
12 ene. 2017 19:01,7.0,27.0,14.0,61.0,39.0,,,,20.0,
12 ene. 2017 20:01,7.0,33.0,12.0,59.0,43.0,,,,19.0,
12 ene. 2017 21:01,9.0,46.0,13.0,47.0,60.0,,,,22.0,
12 ene. 2017 22:01,15.0,89.0,12.0,22.0,112.0,,,,30.0,
12 ene. 2017 23:01,7.0,51.0,12.0,31.0,62.0,,,,20.0,
13 ene. 2017 00:01,7.0,59.0,13.0,21.0,69.0,,,,17.0,
13 ene. 2017 01:01,5.0,32.0,11.0,29.0,39.0,,,,16.0,
13 ene. 2017 02:01,4.0,22.0,12.0,27.0,28.0,,,,9.0,
13 ene. 2017 03:01,4.0,20.0,12.0,28.0,26.0,,,,10.0,
13 ene. 2017 04:01,3.0,21.0,12.0,26.0,26.0,,,,10.0,
13 ene. 2017 05:01,4.0,22.0,13.0,27.0,27.0,,,,8.0,
13 ene. 2017 06:01,6.0,31.0,14.0,19.0,40.0,,,,8.0,
13 ene. 2017 07:01,8.0,45.0,12.0,14.0,57.0,,,,13.0,
13 ene. 2017 08:01,19.0,63.0,13.0,19.0,93.0,,,,16.0,
13 ene. 2017 09:01,26.0,62.0,11.0,22.0,102.0,,,,17.0,
13 ene. 2017 10:01,44.0,80.0,12.0,12.0,148.0,,,,38.0,
13 ene. 2017 11:01,36.0,68.0,9.0,18.0,123.0,,,,33.0,
13 ene. 2017 12:01,8.0,27.0,9.0,48.0,40.0,,,,22.0,
13 ene. 2017 13:01,8.0,21.0,11.0,55.0,33.0,,,,26.0,
13 ene. 2017 14:01,8.0,18.0,12.0,61.0,29.0,,,,19.0,
13 ene. 2017 15:01,6.0,21.0,13.0,60.0,31.0,,,,29.0,
13 ene. 2017 16:01,6.0,19.0,14.0,62.0,27.0,,,,33.0,
13 ene. 2017 17:01,6.0,24.0,14.0,60.0,33.0,,,,24.0,
13 ene. 2017 18:01,6.0,33.0,15.0,52.0,42.0,,,,23.0,
13 ene. 2017 19:01,7.0,40.0,12.0,44.0,51.0,,,,39.0,
13 ene. 2017 20:01,11.0,50.0,11.0,49.0,66.0,,,,31.0,
13 ene. 2017 21:01,6.0,32.0,10.0,53.0,41.0,,,,26.0,
13 ene. 2017 22:01,9.0,58.0,11.0,41.0,71.0,,,,15.0,
13 ene. 2017 23:01,6.0,54.0,9.0,45.0,62.0,,,,11.0,
14 ene. 2017 00:01,5.0,39.0,10.0,54.0,46.0,,,,8.0,
14 ene. 2017 01:01,4.0,23.0,9.0,57.0,29.0,,,,9.0,
14 ene. 2017 02:01,6.0,15.0,7.0,67.0,25.0,,,,2.0,
14 ene. 2017 03:01,2.0,12.0,7.0,64.0,15.0,,,,5.0,
14 ene. 2017 04:01,5.0,11.0,9.0,66.0,19.0,,,,3.0,
14 ene. 2017 05:01,3.0,11.0,11.0,73.0,16.0,,,,6.0,
14 ene. 2017 06:01,5.0,11.0,11.0,73.0,17.0,,,,6.0,
14 ene. 2017 07:01,4.0,13.0,11.0,70.0,18.0,,,,7.0,
14 ene. 2017 08:01,23.0,23.0,8.0,70.0,59.0,,,,11.0,
14 ene. 2017 09:01,10.0,24.0,7.0,66.0,39.0,,,,17.0,
14 ene. 2017 10:01,5.0,16.0,8.0,70.0,24.0,,,,15.0,
14 ene. 2017 11:01,3.0,13.0,9.0,71.0,19.0,,,,39.0,
14 ene. 2017 12:01,3.0,11.0,8.0,72.0,16.0,,,,40.0,
14 ene. 2017 13:01,4.0,13.0,7.0,75.0,20.0,,,,35.0,
14 ene. 2017 14:01,5.0,14.0,7.0,75.0,22.0,,,,37.0,
14 ene. 2017 15:01,5.0,14.0,7.0,77.0,21.0,,,,31.0,
14 ene. 2017 16:01,4.0,12.0,11.0,77.0,18.0,,,,22.0,
14 ene. 2017 17:01,5.0,13.0,14.0,76.0,21.0,,,,18.0,
14 ene. 2017 18:01,6.0,16.0,16.0,72.0,25.0,,,,14.0,
14 ene. 2017 19:01,7.0,34.0,13.0,58.0,45.0,,,,17.0,
14 ene. 2017 20:01,15.0,52.0,13.0,50.0,74.0,,,,15.0,
14 ene. 2017 21:01,8.0,38.0,12.0,53.0,49.0,,,,10.0,
14 ene. 2017 22:01,13.0,29.0,13.0,57.0,49.0,,,,7.0,
14 ene. 2017 23:01,6.0,26.0,14.0,53.0,35.0,,,,9.0,
15 ene. 2017 00:01,5.0,14.0,13.0,64.0,22.0,,,,4.0,
15 ene. 2017 01:01,5.0,12.0,12.0,68.0,18.0,,,,3.0,
15 ene. 2017 02:01,4.0,13.0,11.0,65.0,20.0,,,,6.0,
15 ene. 2017 03:01,5.0,11.0,12.0,63.0,18.0,,,,4.0,
